name,repoURL,sourceURL,wgetURL,have,source,newCategories,categories,scope,eTag,lastModifiedDateInSource,geoResolution,startDate,endDate,timeResolution,rasterized,fileType,fileSize,internalLocation,ckanURL,notes
ADCIRC Coastal Circulation and Storm Surge Model + Swan Wave Model ,,http://coastalemergency.org/,,yes,"DHS Coastal Hazards Center, UNC Chapel Hill
",Climate and Weather,"Natural Disaster,Flood / Drought",National,,,,,,,no,"html, pdf",1.1,CKAN,http://data.ecohealth.io/dataset/adcirc-coastal-circulation-and-storm-surge-model-swan-wave-model,
Agricultural Exposure to Water Stress,http://www.wri.org/resources,http://www.wri.org/resources/data-sets/agricultural-exposure-water-stress,,yes,World Resources Institute,"Climate and Weather , Political Stability , Human Susceptibility","Land Use / Land Cover,Food Security,Political Stability",Global,,,,2004,2004,0,no,xlsx,0.373,CKAN,http://data.ecohealth.io/dataset/agricultural-exposure-to-water-stress,
Chinese County level data on Hospitals and Epidemiology stations,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/cddc-china-hospitals-epidemiology-stations-1950-1985,ftp://ftpserver.ciesin.columbia.edu/pub/data/China/CITAS/hospital/,yes,"SEDAC, CIESIN, Columbia University",EIDS,EIDS,National,,,need to find out,,,,need to find out,zip,15.6,CKAN,http://data.ecohealth.io/dataset/chinese-county-level-data-on-hospitals-and-epidemiology-stations,
Colarado River Basin Study ,http://www.wri.org/resources,http://www.wri.org/resources/data-sets/colorado-river-basin-study,,yes,World Resources Institute,"Climate and Weather , Changing Ecosystems","Flood / Drought,Biodiversity",National,,,need to find out,,,,need to find out,zip,2.6,CKAN,http://data.ecohealth.io/dataset/colarado-river-basin-study,
Country and River Basin Rankings ,http://www.wri.org/resources,http://www.wri.org/resources/data-sets/aqueduct-country-and-river-basin-rankings,"http://www.wri.org/sites/default/files/aqueduct_aggr_gdb_20131107_0.zip ,
http://www.wri.org/sites/default/files/aqueduct_aggr_shp_20140109%20%282%29.zip ,
http://www.wri.org/sites/default/files/aqueduct_aggr_xlsx_20140109%20%282%29.zip",yes,World Resources Institute,"Climate and Weather , Changing Ecosystems","Flood / Drought,Biodiversity",Global,,,need to find out,2013,2013,0,need to find out,zip,36.3,CKAN,http://data.ecohealth.io/dataset/country-and-river-basin-rankings,
CPIA Policies for social inclusion / equity cluster average ( 1 = low to 6 = high ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IQ.CPA.SOCI.XQ,http://api.worldbank.org/v2/en/indicator/iq.cpa.soci.xq?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,2005,2012,7,no,csv,0.112,CKAN,http://data.ecohealth.io/dataset/cpia-policies-for-social-inclusion-equity-cluster-average-1-low-to-6-high,
CPIA Structural Policies Cluster Average ( 1 = low to 6 = high ) ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IQ.CPA.STRC.XQ,http://api.worldbank.org/v2/en/indicator/iq.cpa.strc.xq?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,2005,2012,7,no,csv,0.113,CKAN,http://data.ecohealth.io/dataset/cpia-structural-policies-cluster-average-1-low-to-6-high,
"Environmental Performance Index and Pilot Trend Environmental Performance Index, 2012 Release",http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/epi-environmental-performance-index-pilot-trend-2012,"http://sedac.ciesin.columbia.edu/downloads/data/epi/epi-environmental-performance-index-pilot-trend-2012/2012-epi.xls ,
http://sedac.ciesin.columbia.edu/downloads/data/epi/epi-environmental-performance-index-pilot-trend-2012/historical-epi.xls ,
http://sedac.ciesin.columbia.edu/downloads/data/epi/epi-environmental-performance-index-pilot-trend-2012/pilot-trend-epi.xls",yes,"SEDAC, CIESIN, Columbia University",Changing Ecosystems,"Land Use / Land Cover,Water Quality,Biodiversity",Global,,,need to find out,2000,2010,10,yes,zip,9.6,CKAN,http://data.ecohealth.io/dataset/environmental-performance-index-and-pilot-trend-environmental-performance-index-2012-release,
Failed States Index,http://ffp.statesindex.org/,"http://ffp.statesindex.org/rankings-2013-sortable , 
http://ffp.statesindex.org/rankings-2012-sortable , 
http://ffp.statesindex.org/rankings-2011-sortable ,
http://ffp.statesindex.org/rankings-2010-sortable ,
http://ffp.statesindex.org/rankings-2009-sortable ,
http://ffp.statesindex.org/rankings-2008-sortable ,
http://ffp.statesindex.org/rankings-2007-sortable ,
http://ffp.statesindex.org/rankings-2006-sortable","http://ffp.statesindex.org/library/cfsis1301-fsi-spreadsheet178-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis1201-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis1101-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis1001-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis0901-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis0801-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis0701-fsi-spreadsheet177-public-06a.xls ,
http://ffp.statesindex.org/library/cfsis0601-fsi-spreadsheet146-public-06a.xls",yes,Fund for Peace,Political Stability,Political Stability,Global,,,,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",,no,xls,0.509,CKAN,http://data.ecohealth.io/dataset/failed-states-index,
GDP per unit of energy use ( constant 2005 PPP $ per kg of oil equivalent ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.GDP.PUSE.KO.PP.KD,http://api.worldbank.org/v2/en/indicator/eg.gdp.puse.ko.pp.kd?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1980,2012,32,no,csv,0.182,CKAN,http://data.ecohealth.io/dataset/gdp-per-unit-of-energy-use-constant-2005-ppp-per-kg-of-oil-equivalent,
